"","X","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season","Größe","Gewicht","Geburtsort","Hintergrund","Bild_URL"
"18",652,"Alexander Kukla","Alexander","Kukla","m"," Deutschland","24.07.1993","  3  ","https://www.sport.de/ninja-warrior/pe686138/alexander-kukla/",NA,NA,3,NA,NA,176,78," Deutschland","","https://s.hs-data.com/gfx/person/m/686138.jpg"
"19",710,"Alexander Rončević","Alexander","Rončević","m"," Österreich","06.08.1992","  3  ","https://www.sport.de/ninja-warrior/pe686650/alexander-roncevic/",NA,NA,3,NA,NA,185,75," Österreich","","https://s.hs-data.com/gfx/person/m/686650.jpg"
"20",772,"Alexander Wilhelm","Alexander","Wilhelm","m"," Deutschland","24.11.1991","  3  ","https://www.sport.de/ninja-warrior/pe686299/alexander-wilhelm/",NA,NA,3,NA,NA,176,69," Deutschland","","https://s.hs-data.com/gfx/person/m/686299.jpg"
"21",526,"Alexander Winkler","Alexander","Winkler","m"," Österreich","05.02.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686356/alexander-winkler/",NA,2,NA,NA,NA,186,72," Österreich","","https://s.hs-data.com/gfx/person/m/686356.jpg"
"22",974,"Alexander Worgitzki","Alexander","Worgitzki","m"," Deutschland","01.05.1986","   4 ","https://www.sport.de/ninja-warrior/pe686790/alexander-worgitzki/",NA,NA,NA,4,NA,178,85," Deutschland","","https://s.hs-data.com/gfx/person/m/686790.jpg"
"23",230,"Alexander Wurm","Alexander","Wurm","m"," Deutschland","11.05.1996","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe686085/alexander-wurm/",1,2,3,4,5,178,63," Deutschland","","https://s.hs-data.com/gfx/person/m/686085.jpg"
"24",12,"Alexandru Barbu","Alexandru","Barbu","m"," Deutschland","09.04.1992","1    ","https://www.sport.de/ninja-warrior/pe686060/alexandru-barbu/",1,NA,NA,NA,NA,170,68," Deutschland","","https://s.hs-data.com/gfx/person/m/686060.jpg"
"25",253,"Alexej Balzer","Alexej","Balzer","m"," Deutschland","01.10.1991"," 2   ","https://www.sport.de/ninja-warrior/pe686484/alexej-balzer/",NA,2,NA,NA,NA,184,82," Deutschland","","https://s.hs-data.com/gfx/person/m/686484.jpg"
"26",348,"Alexej Hein","Alexej","Hein","m"," Deutschland","11.04.1978"," 2   ","https://www.sport.de/ninja-warrior/pe686546/alexej-hein/",NA,2,NA,NA,NA,176,74," Deutschland","","https://s.hs-data.com/gfx/person/m/686546.jpg"
"27",959,"Alfred Tschechowski","Alfred","Tschechowski","m"," Deutschland","05.02.1986","   4 ","https://www.sport.de/ninja-warrior/pe686807/alfred-tschechowski/",NA,NA,NA,4,NA,181,86," Deutschland","","https://s.hs-data.com/gfx/person/m/686807.jpg"
"28",174,"Alfredo Roldán Minaya","Alfredo","Roldán Minaya","m"," Deutschland","04.03.1995","1    ","https://www.sport.de/ninja-warrior/pe686054/alfredo-roldan-minaya/",1,NA,NA,NA,NA,167,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686054.jpg"
"29",626,"Ali Ismael","Ali","Ismael","m"," Deutschland","05.12.1989","  3  ","https://www.sport.de/ninja-warrior/pe686586/ali-ismael/",NA,NA,3,NA,NA,180,90," Deutschland","","https://s.hs-data.com/gfx/person/m/686586.jpg"
"30",676,"Ali Moussa","Ali","Moussa","m"," Deutschland","30.07.1982","  3 4 5","https://www.sport.de/ninja-warrior/pe686263/ali-moussa/",NA,NA,3,4,5,182,95," Deutschland","","https://s.hs-data.com/gfx/person/m/686263.jpg"
"31",533,"Ali Yacoubovitch","Ali","Yacoubovitch","m"," Deutschland","03.08.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686453/ali-yacoubovitch/",NA,2,NA,NA,NA,184,95," Deutschland","","https://s.hs-data.com/gfx/person/m/686453.jpg"
"32",396,"Alicia Kummer","Alicia","Kummer","w"," Deutschland","24.06.1988"," 2   5","https://www.sport.de/ninja-warrior/pe686371/alicia-kummer/",NA,2,NA,NA,5,171,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686371.jpg"
"33",682,"Alicia Neumann","Alicia","Neumann","w"," Deutschland","17.10.1999","  3  ","https://www.sport.de/ninja-warrior/pe686183/alicia-neumann/",NA,NA,3,NA,NA,168,56," Deutschland","","https://s.hs-data.com/gfx/person/m/686183.jpg"
"34",943,"Alina Schwärzer","Alina","Schwärzer","w"," Deutschland","27.06.1992","   4 5","https://www.sport.de/ninja-warrior/pe686739/alina-schwaerzer/",NA,NA,NA,4,5,169,55," Deutschland","","https://s.hs-data.com/gfx/person/m/686739.jpg"
"35",789,"Aline Barre","Aline","Barre","w"," Deutschland","19.05.1998","   4 ","https://www.sport.de/ninja-warrior/pe686816/aline-barre/",NA,NA,NA,4,NA,169,58," Deutschland","","https://s.hs-data.com/gfx/person/m/686816.jpg"
"36",1047,"Alisa Govzmann","Alisa","Govzmann","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708133/alisa-govzmann/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708133.jpg"
"37",1096,"Alisha Lehni","Alisha","Lehni","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708085/alisha-lehni/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708085.jpg"
"38",8,"Alix Arndt","Alix","Arndt","w"," Deutschland","27.05.1979","1 2  4 5","https://www.sport.de/ninja-warrior/pe686107/alix-arndt/",1,2,NA,4,5,171,62," Deutschland","","https://s.hs-data.com/gfx/person/m/686107.jpg"
"39",584,"Aljoscha Faske","Aljoscha","Faske","m"," Deutschland","02.06.1993","  3  ","https://www.sport.de/ninja-warrior/pe686252/aljoscha-faske/",NA,NA,3,NA,NA,178,78," Deutschland","","https://s.hs-data.com/gfx/person/m/686252.jpg"
"40",795,"Allen Boxer","Allen","Boxer","m"," Frankreich","11.01.1986","   4 ","https://www.sport.de/ninja-warrior/pe686813/allen-boxer/",NA,NA,NA,4,NA,188,90," Frankreich","","https://s.hs-data.com/gfx/person/m/686813.jpg"
"41",64,"Alon Gabbay","Alon","Gabbay","m"," Deutschland","28.03.1987","1    ","https://www.sport.de/ninja-warrior/pe685840/alon-gabbay/",1,NA,NA,NA,NA,176,80," Deutschland","","https://s.hs-data.com/gfx/person/m/685840.jpg"
"42",95,"Amelie Hundrieser","Amelie","Hundrieser","w"," Deutschland","24.05.1989","1    ","https://www.sport.de/ninja-warrior/pe685918/amelie-hundrieser/",1,NA,NA,NA,NA,168,64," Deutschland","","https://s.hs-data.com/gfx/person/m/685918.jpg"
"43",672,"Anatoli Melnikov","Anatoli","Melnikov","m"," Deutschland","10.01.1994","  3  ","https://www.sport.de/ninja-warrior/pe686673/anatoli-melnikov/",NA,NA,3,NA,NA,173,63," Deutschland","","https://s.hs-data.com/gfx/person/m/686673.jpg"
"44",1150,"Andie Saleh","Andie","Saleh","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708098/andie-saleh/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708098.jpg"
"45",1025,"André Fischer","André","Fischer","m"," Deutschland","10.10.1988","    5","https://www.sport.de/ninja-warrior/pe708056/andre-fischer/",NA,NA,NA,NA,5,184,70," Deutschland","","https://s.hs-data.com/gfx/person/m/708056.jpg"
"46",112,"André Kreisel","André","Kreisel","m"," Deutschland","11.09.1983","1  3  ","https://www.sport.de/ninja-warrior/pe686078/andre-kreisel/",1,NA,3,NA,NA,175,75," Deutschland","","https://s.hs-data.com/gfx/person/m/686078.jpg"
"47",898,"André Mikitta","André","Mikitta","m"," Deutschland","24.01.1996","   4 ","https://www.sport.de/ninja-warrior/pe686726/andre-mikitta/",NA,NA,NA,4,NA,175,75," Deutschland","","https://s.hs-data.com/gfx/person/m/686726.jpg"
"48",681,"André Naumann","André","Naumann","m"," Deutschland","29.07.1997","  3  ","https://www.sport.de/ninja-warrior/pe686204/andre-naumann/",NA,NA,3,NA,NA,177,76," Deutschland","","https://s.hs-data.com/gfx/person/m/686204.jpg"
"49",221,"André Wesemann","André","Wesemann","m"," Deutschland","12.01.1980","1    ","https://www.sport.de/ninja-warrior/pe686043/andre-wesemann/",1,NA,NA,NA,NA,178,88," Deutschland","","https://s.hs-data.com/gfx/person/m/686043.jpg"
"50",1020,"Andrea Dörr","Andrea","Dörr","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708047/andrea-doerr/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708047.jpg"
"51",827,"Andrea Forstmayr","Andrea","Forstmayr","w"," Österreich","13.09.1985","   4 5","https://www.sport.de/ninja-warrior/pe686703/andrea-forstmayr/",NA,NA,NA,4,5,163,52," Österreich","","https://s.hs-data.com/gfx/person/m/686703.jpg"
"52",894,"Andrea Meßner","Andrea","Meßner","w"," Deutschland","18.04.1995","   4 5","https://www.sport.de/ninja-warrior/pe686808/andrea-messner/",NA,NA,NA,4,5,165,60," Deutschland","","https://s.hs-data.com/gfx/person/m/686808.jpg"
"53",312,"Andreas Flögel","Andreas","Flögel","m"," Deutschland","26.10.1967"," 2   ","https://www.sport.de/ninja-warrior/pe686459/andreas-floegel/",NA,2,NA,NA,NA,165,59," Deutschland","","https://s.hs-data.com/gfx/person/m/686459.jpg"
"54",69,"Andreas Giedt","Andreas","Giedt","m"," Deutschland","29.07.1986","1    ","https://www.sport.de/ninja-warrior/pe686027/andreas-giedt/",1,NA,NA,NA,NA,178,84," Deutschland","","https://s.hs-data.com/gfx/person/m/686027.jpg"
"55",689,"Andreas Pichl","Andreas","Pichl","m"," Deutschland","01.06.1986","  3  ","https://www.sport.de/ninja-warrior/pe686613/andreas-pichl/",NA,NA,3,NA,NA,175,70," Deutschland","","https://s.hs-data.com/gfx/person/m/686613.jpg"
"56",916,"Andreas Prost","Andreas","Prost","m"," Deutschland","30.12.1995","   4 ","https://www.sport.de/ninja-warrior/pe686716/andreas-prost/",NA,NA,NA,4,NA,185,74," Deutschland","","https://s.hs-data.com/gfx/person/m/686716.jpg"
"57",226,"Andreas Wöhle","Andreas","Wöhle","m"," Deutschland","02.09.1990","1 2 3  ","https://www.sport.de/ninja-warrior/pe685878/andreas-woehle/",1,2,3,NA,NA,176,80," Deutschland","","https://s.hs-data.com/gfx/person/m/685878.jpg"
"58",415,"Andrej Mangold","Andrej","Mangold","m"," Deutschland","14.01.1987"," 2  4 ","https://www.sport.de/basketball/pe264688/andrej-mangold/",NA,2,NA,4,NA,190,90," Deutschland"," Basketball"," https://s.hs-data.com/gfx/person/m/264688.jpg"
"59",469,"Andrew Safo","Andrew","Safo","m"," Deutschland","27.11.1989"," 2 3  ","https://www.sport.de/ninja-warrior/pe686297/andrew-safo/",NA,2,3,NA,NA,190,85," Deutschland","","https://s.hs-data.com/gfx/person/m/686297.jpg"
"60",614,"Angelo Höfele","Angelo","Höfele","m"," Deutschland","09.06.1966","  3 4 ","https://www.sport.de/ninja-warrior/pe686287/angelo-hoefele/",NA,NA,3,4,NA,180,77," Deutschland","","https://s.hs-data.com/gfx/person/m/686287.jpg"
"61",1108,"Angelo Matimbe","Angelo","Matimbe","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708112/angelo-matimbe/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708112.jpg"
"62",420,"Angelo Mihaltan","Angelo","Mihaltan","m"," Deutschland","04.07.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686397/angelo-mihaltan/",NA,2,NA,NA,NA,173,78," Deutschland","","https://s.hs-data.com/gfx/person/m/686397.jpg"
"63",102,"Anita Junkowitsch","Anita","Junkowitsch","w"," Deutschland","28.03.1981","1    ","https://www.sport.de/ninja-warrior/pe686110/anita-junkowitsch/",1,NA,NA,NA,NA,170,56," Deutschland","","https://s.hs-data.com/gfx/person/m/686110.jpg"
"64",16,"Anja Behrens-Begerow","Anja","Behrens-Begerow","w"," Deutschland","01.07.1969","1    ","https://www.sport.de/ninja-warrior/pe686101/anja-behrens-begerow/",1,NA,NA,NA,NA,164,51," Deutschland","","https://s.hs-data.com/gfx/person/m/686101.jpg"
"65",39,"Anja Czaika","Anja","Czaika","w"," Deutschland","08.07.1987","1    ","https://www.sport.de/ninja-warrior/pe685923/anja-czaika/",1,NA,NA,NA,NA,166,63," Deutschland","","https://s.hs-data.com/gfx/person/m/685923.jpg"
"66",1148,"Ann-Kathrin Sajons","Ann-Kathrin","Sajons","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708002/ann-kathrin-sajons/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708002.jpg"
"67",1021,"Anna Droszez","Anna","Droszez","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708243/anna-droszez/",NA,NA,NA,NA,5,0,0,"","","https://s.hs-data.com/gfx/person/m/708243.jpg"
"68",366,"Anna Juchem","Anna","Juchem","w"," Deutschland","26.10.1978"," 2 3  ","https://www.sport.de/ninja-warrior/pe686412/anna-juchem/",NA,2,3,NA,NA,170,60," Deutschland","","https://s.hs-data.com/gfx/person/m/686412.jpg"
"69",1146,"Annalena Rohr","Annalena","Rohr","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708082/annalena-rohr/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708082.jpg"
"70",988,"Anne Bartelt","Anne","Bartelt","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708183/anne-bartelt/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708183.jpg"
"71",388,"Anne-Marie Kot","Anne-Marie","Kot","w"," Deutschland","03.07.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686345/anne-marie-kot/",NA,2,NA,NA,NA,158,50," Deutschland","","https://s.hs-data.com/gfx/person/m/686345.jpg"
"72",968,"Annette Weiss","Annette","Weiss","w"," Deutschland","24.05.1968","   4 5","https://www.sport.de/ninja-warrior/pe686763/annette-weiss/",NA,NA,NA,4,5,172,6," Deutschland","","https://s.hs-data.com/gfx/person/m/686763.jpg"
"73",517,"Annika Werner","Annika","Werner","w"," Deutschland","01.06.1999"," 2   5","https://www.sport.de/ninja-warrior/pe686331/annika-werner/",NA,2,NA,NA,5,166,66," Deutschland","","https://s.hs-data.com/gfx/person/m/686331.jpg"
"74",1094,"Annina Lehmann","Annina","Lehmann","w"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708235/annina-lehmann/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708235.jpg"
"75",271,"Ansgar Brinkmann","Ansgar","Brinkmann","m"," Deutschland","05.07.1969"," 2   ","https://www.sport.de/fussball/pe41109/ansgar-brinkmann/",NA,2,NA,NA,NA,181,83," Deutschland"," Fußball"," https://s.hs-data.com/gfx/person/m/41109.jpg"
"76",917,"Antonia Quindel","Antonia","Quindel","w"," Deutschland","30.11.1998","   4 ","https://www.sport.de/ninja-warrior/pe686814/antonia-quindel/",NA,NA,NA,4,NA,158,47," Deutschland","","https://s.hs-data.com/gfx/person/m/686814.jpg"
"77",212,"Arash Vaezi","Arash","Vaezi","m"," Deutschland","12.03.1976","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe686067/arash-vaezi/",1,2,3,4,5,175,72," Deutschland","","https://s.hs-data.com/gfx/person/m/686067.jpg"
"78",279,"Ardian Cakay","Ardian","Cakay","m"," Deutschland","05.05.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686482/ardian-cakay/",NA,2,NA,NA,NA,174,68," Deutschland","","https://s.hs-data.com/gfx/person/m/686482.jpg"
"79",167,"Arianit Rama","Arianit","Rama","m"," Deutschland","03.05.1991","1    ","https://www.sport.de/ninja-warrior/pe685852/arianit-rama/",1,NA,NA,NA,NA,185,90," Deutschland","","https://s.hs-data.com/gfx/person/m/685852.jpg"
"80",481,"Arleen Schüßler","Arleen","Schüßler","w"," Deutschland","08.12.1991"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686283/arleen-schuessler/",NA,2,3,4,5,173,68," Deutschland","","https://s.hs-data.com/gfx/person/m/686283.jpg"
"81",484,"Armin Sedlmeier","Armin","Sedlmeier","m"," Deutschland","31.10.1968"," 2   ","https://www.sport.de/ninja-warrior/pe686551/armin-sedlmeier/",NA,2,NA,NA,NA,172,74," Deutschland","","https://s.hs-data.com/gfx/person/m/686551.jpg"
"82",855,"Artur Kaufman","Artur","Kaufman","m"," Deutschland","31.10.1994","   4 ","https://www.sport.de/ninja-warrior/pe686824/artur-kaufman/",NA,NA,NA,4,NA,169,85," Deutschland","","https://s.hs-data.com/gfx/person/m/686824.jpg"
"83",938,"Artur Schreiber","Artur","Schreiber","m"," Deutschland","21.03.1991","   4 5","https://www.sport.de/ninja-warrior/pe686681/artur-schreiber/",NA,NA,NA,4,5,172,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686681.jpg"
"84",947,"Artur Sommer","Artur","Sommer","m"," Deutschland","13.06.1993","   4 ","https://www.sport.de/ninja-warrior/pe686800/artur-sommer/",NA,NA,NA,4,NA,176,77," Deutschland","","https://s.hs-data.com/gfx/person/m/686800.jpg"
"85",945,"Astrid Sibon","Astrid","Sibon","w"," Niederlande","15.06.1993","   4 5","https://www.sport.de/ninja-warrior/pe686694/astrid-sibon/",NA,NA,NA,4,5,164,63," Niederlande","","https://s.hs-data.com/gfx/person/m/686694.jpg"
"86",604,"Attila Hamberger","Attila","Hamberger","m"," Deutschland","15.12.1991","  3 4 ","https://www.sport.de/ninja-warrior/pe686615/attila-hamberger/",NA,NA,3,4,NA,172,70," Deutschland","","https://s.hs-data.com/gfx/person/m/686615.jpg"
"87",93,"Axel Hower","Axel","Hower","m"," Deutschland","21.03.1986","1    ","https://www.sport.de/ninja-warrior/pe686024/axel-hower/",1,NA,NA,NA,NA,166,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686024.jpg"
"88",238,"Aydin Agirdas","Aydin","Agirdas","m"," Deutschland","02.04.1975"," 2   ","https://www.sport.de/ninja-warrior/pe686424/aydin-agirdas/",NA,2,NA,NA,NA,172,71," Deutschland","","https://s.hs-data.com/gfx/person/m/686424.jpg"
"89",493,"Aylin Specker","Aylin","Specker","w"," Deutschland","10.08.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686451/aylin-specker/",NA,2,NA,NA,NA,167,49," Deutschland","","https://s.hs-data.com/gfx/person/m/686451.jpg"
"90",239,"Bahier Ahmad","Bahier","Ahmad","m"," Deutschland","15.05.1991"," 2   ","https://www.sport.de/ninja-warrior/pe686520/bahier-ahmad/",NA,2,NA,NA,NA,180,75," Deutschland","","https://s.hs-data.com/gfx/person/m/686520.jpg"
"91",1116,"Bajran Morina","Bajran","Morina","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708039/bajran-morina/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708039.jpg"
"92",801,"Balian Buschbaum","Balian","Buschbaum","m"," Deutschland","14.07.1980","   4 ","https://www.sport.de/ninja-warrior/pe686846/balian-buschbaum/",NA,NA,NA,4,NA,171,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686846.jpg"
"93",20,"Bastian Binz","Bastian","Binz","m"," Deutschland","06.02.1991","1    ","https://www.sport.de/ninja-warrior/pe685905/bastian-binz/",1,NA,NA,NA,NA,200,88," Deutschland","","https://s.hs-data.com/gfx/person/m/685905.jpg"
"94",808,"Bastian Dorando","Bastian","Dorando","m"," Deutschland","04.07.1999","   4 ","https://www.sport.de/ninja-warrior/pe686753/bastian-dorando/",NA,NA,NA,4,NA,174,65," Deutschland","","https://s.hs-data.com/gfx/person/m/686753.jpg"
"95",1055,"Bastian Hauk","Bastian","Hauk","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708202/bastian-hauk/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708202.jpg"
"96",631,"Bastian Junker","Bastian","Junker","m"," Deutschland","19.06.1998","  3  ","https://www.sport.de/ninja-warrior/pe686616/bastian-junker/",NA,NA,3,NA,NA,165,55," Deutschland","","https://s.hs-data.com/gfx/person/m/686616.jpg"
"97",677,"Bea Müller","Bea","Müller","w"," Deutschland","06.01.1991","  3  ","https://www.sport.de/ninja-warrior/pe686635/bea-mueller/",NA,NA,3,NA,NA,165,56," Deutschland","","https://s.hs-data.com/gfx/person/m/686635.jpg"
"98",850,"Beate Hutzler","Beate","Hutzler","w"," Deutschland","09.10.1989","   4 ","https://www.sport.de/ninja-warrior/pe686710/beate-hutzler/",NA,NA,NA,4,NA,160,55," Deutschland","","https://s.hs-data.com/gfx/person/m/686710.jpg"
"99",300,"Beatrice Egli","Beatrice","Egli","w"," Schweiz","21.06.1988"," 2   ","https://www.sport.de/ninja-warrior/pe705746/beatrice-egli/",NA,2,NA,NA,NA,0,0," Schweiz","","https://s.hs-data.com/gfx/person/m/705746.jpg"
"100",580,"Benedict Eninger","Benedict","Eninger","m"," Deutschland","03.02.1990","  3  ","https://www.sport.de/ninja-warrior/pe686226/benedict-eninger/",NA,NA,3,NA,NA,170,63," Deutschland","","https://s.hs-data.com/gfx/person/m/686226.jpg"
"101",875,"Benedikt Last","Benedikt","Last","m"," Deutschland","28.05.1994","   4 5","https://www.sport.de/ninja-warrior/pe686798/benedikt-last/",NA,NA,NA,4,5,178,70," Deutschland","","https://s.hs-data.com/gfx/person/m/686798.jpg"
"102",718,"Benedikt Schmid","Benedikt","Schmid","m"," Deutschland","01.04.1993","  3  ","https://www.sport.de/ninja-warrior/pe686657/benedikt-schmid/",NA,NA,3,NA,NA,173,64," Deutschland","","https://s.hs-data.com/gfx/person/m/686657.jpg"
"103",732,"Benedikt Sigmund","Benedikt","Sigmund","m"," Deutschland","25.07.1983","  3 4 ","https://www.sport.de/ninja-warrior/pe686289/benedikt-sigmund/",NA,NA,3,4,NA,190,86," Deutschland","","https://s.hs-data.com/gfx/person/m/686289.jpg"
"104",1175,"Benedikt Sigmund","Benedikt","Sigmund","m"," Deutschland",NA,"    5","https://www.sport.de/ninja-warrior/pe708052/benedikt-sigmund/",NA,NA,NA,NA,5,0,0," Deutschland","","https://s.hs-data.com/gfx/person/m/708052.jpg"
"105",127,"Bengt-Hjalte Mader","Bengt-Hjalte","Mader","m"," Deutschland","14.09.1989","1 2   ","https://www.sport.de/ninja-warrior/pe686558/bengt-hjalte-mader/",1,2,NA,NA,NA,187,80," Deutschland","","https://s.hs-data.com/gfx/person/m/686558.jpg"
"106",73,"Benjamin Grams","Benjamin","Grams","m"," Deutschland","21.11.1992","1 2 3  5","https://www.sport.de/ninja-warrior/pe685907/benjamin-grams/",1,2,3,NA,5,172,69," Deutschland","","https://s.hs-data.com/gfx/person/m/685907.jpg"
