"","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season"
"36"," Lorenzo Chimenti","Lorenzo","Chimenti","m"," Deutschland"," 02.09.1984","1    ","https://www.sport.de/ninja-warrior/pe685835/lorenzo-chimenti/","1","","","",""
"37"," Liam Cook","Liam","Cook","m"," Deutschland"," 03.06.1986","1    ","https://www.sport.de/ninja-warrior/pe686042/liam-cook/","1","","","",""
"38"," David Coppeneur","David","Coppeneur","m"," Deutschland"," 11.10.1996","1    ","https://www.sport.de/ninja-warrior/pe686059/david-coppeneur/","1","","","",""
"39"," Anja Czaika","Anja","Czaika","w"," Deutschland"," 08.07.1987","1    ","https://www.sport.de/ninja-warrior/pe685923/anja-czaika/","1","","","",""
"40"," Felix Dangel","Felix","Dangel","m"," Deutschland"," 07.05.1991","1    ","https://www.sport.de/ninja-warrior/pe686034/felix-dangel/","1","","","",""
"41"," Charly Dankwa","Charly","Dankwa","m"," Deutschland"," 27.03.1985","1    ","https://www.sport.de/ninja-warrior/pe686014/charly-dankwa/","1","","","",""
"42"," Simon Däter","Simon","Däter","m"," Deutschland"," 13.05.1988","1    ","https://www.sport.de/ninja-warrior/pe686012/simon-daeter/","1","","","",""
"43"," Konstantinos David","Konstantinos","David","m"," Deutschland"," 06.05.1963","1    ","https://www.sport.de/ninja-warrior/pe685895/konstantinos-david/","1","","","",""
"44"," Vivien De Lippe","Vivien","De Lippe","w"," Deutschland"," 14.06.1994","1    ","https://www.sport.de/ninja-warrior/pe686094/vivien-de-lippe/","1","","","",""
"45"," Tobias Diedler","Tobias","Diedler","m"," Deutschland"," 11.05.1986","1    ","https://www.sport.de/ninja-warrior/pe686017/tobias-diedler/","1","","","",""
"46"," David Dietrich","David","Dietrich","m"," Deutschland"," 25.10.1989","1    ","https://www.sport.de/ninja-warrior/pe685936/david-dietrich/","1","","","",""
"47"," Sebastian Dietz","Sebastian","Dietz","m"," Deutschland"," 25.02.1985","1    ","https://www.sport.de/ninja-warrior/pe685914/sebastian-dietz/","1","","","",""
"48"," Sladjan Djulabic","Sladjan","Djulabic","m"," Deutschland"," 29.11.1988","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe685879/sladjan-djulabic/","1","2","3","4","5"
"49"," Jan-Marco Donath","Jan-Marco","Donath","m"," Deutschland"," 05.11.1989","1    ","https://www.sport.de/ninja-warrior/pe686039/jan-marco-donath/","1","","","",""
"50"," Jakob Draeger","Jakob","Draeger","m"," Deutschland"," 27.08.1990","1  3  5","https://www.sport.de/ninja-warrior/pe685882/jakob-draeger/","1","","3","","5"
"51"," Marcel Duft","Marcel","Duft","m"," Deutschland"," 13.10.1981","1    ","https://www.sport.de/ninja-warrior/pe686020/marcel-duft/","1","","","",""
"52"," Till Ebener","Till","Ebener","m"," Deutschland"," 12.05.1985","1 2 3 4 ","https://www.sport.de/ninja-warrior/pe686058/till-ebener/","1","2","3","4",""
"53"," Oliver Edelmann","Oliver","Edelmann","m"," Deutschland"," 29.01.1994","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe686038/oliver-edelmann/","1","2","3","4","5"
"54"," John-Edouard Ehlinger","John-Edouard","Ehlinger","m"," Frankreich"," 27.02.1982","1 2 3  ","https://www.sport.de/ninja-warrior/pe686018/john-edouard-ehlinger/","1","2","3","",""
"55"," Johann Eichholz","Johann","Eichholz","m"," Deutschland"," 02.09.1986","1    ","https://www.sport.de/ninja-warrior/pe685857/johann-eichholz/","1","","","",""
"56"," Patricio Escher","Patricio","Escher","m"," Deutschland"," 15.07.1985","1    ","https://www.sport.de/ninja-warrior/pe685842/patricio-escher/","1","","","",""
"57"," Matthias Fahrig","Matthias","Fahrig","m"," Deutschland"," 15.12.1985","1    ","https://www.sport.de/ninja-warrior/pe430890/matthias-fahrig/","1","","","",""
"58"," Yasmin Faslija","Yasmin","Faslija","w"," Deutschland"," 01.04.1986","1    ","https://www.sport.de/ninja-warrior/pe685930/yasmin-faslija/","1","","","",""
"59"," Dominik Ferenc","Dominik","Ferenc","m"," Deutschland"," 09.04.1994","1    ","https://www.sport.de/ninja-warrior/pe685906/dominik-ferenc/","1","","","",""
"60"," Dana Ferencova","Dana","Ferencova","w"," Deutschland"," 14.03.1973","1    ","https://www.sport.de/ninja-warrior/pe685925/dana-ferencova/","1","","","",""
"61"," Pamela Forster","Pamela","Forster","w"," Österreich"," 10.10.1986","1   4 5","https://www.sport.de/ninja-warrior/pe686091/pamela-forster/","1","","","4","5"
"62"," Nadine Freitag","Nadine","Freitag","w"," Deutschland"," 04.04.1992","1    ","https://www.sport.de/ninja-warrior/pe685920/nadine-freitag/","1","","","",""
"63"," Johannes Frotschnig","Johannes","Frotschnig","m"," Deutschland"," 28.11.1984","1    ","https://www.sport.de/ninja-warrior/pe685884/johannes-frotschnig/","1","","","",""
"64"," Alon Gabbay","Alon","Gabbay","m"," Deutschland"," 28.03.1987","1    ","https://www.sport.de/ninja-warrior/pe685840/alon-gabbay/","1","","","",""
"65"," Patrick Garenfeld","Patrick","Garenfeld","m"," Deutschland"," 23.01.1980","1    ","https://www.sport.de/ninja-warrior/pe685875/patrick-garenfeld/","1","","","",""
"66"," Daniel Gerber","Daniel","Gerber","m"," Deutschland"," 03.08.1996","1 2  4 5","https://www.sport.de/ninja-warrior/pe685942/daniel-gerber/","1","2","","4","5"
"67"," Ulrike Gessert","Ulrike","Gessert","w"," Deutschland"," 20.04.1983","1    ","https://www.sport.de/ninja-warrior/pe686098/ulrike-gessert/","1","","","",""
"68"," The-Huy Giang","The-Huy","Giang","m"," Deutschland"," 08.03.1981","1  3  ","https://www.sport.de/ninja-warrior/pe685886/the-huy-giang/","1","","3","",""
"69"," Andreas Giedt","Andreas","Giedt","m"," Deutschland"," 29.07.1986","1    ","https://www.sport.de/ninja-warrior/pe686027/andreas-giedt/","1","","","",""
"70"," Ricardo Giehl","Ricardo","Giehl","m"," Deutschland"," 05.06.1985","1    ","https://www.sport.de/ninja-warrior/pe685871/ricardo-giehl/","1","","","",""
"71"," Sascha Göbel","Sascha","Göbel","m"," Deutschland"," 01.09.1993","1  3  ","https://www.sport.de/ninja-warrior/pe686030/sascha-goebel/","1","","3","",""
"72"," Fritz Gottschalk","Fritz","Gottschalk","m"," Deutschland"," 21.11.1963","1    ","https://www.sport.de/ninja-warrior/pe686025/fritz-gottschalk/","1","","","",""
"73"," Benjamin Grams","Benjamin","Grams","m"," Deutschland"," 21.11.1992","1 2 3  5","https://www.sport.de/ninja-warrior/pe685907/benjamin-grams/","1","2","3","","5"
"74"," Holger Gugg","Holger","Gugg","m"," Deutschland"," 07.03.1980","1  3  ","https://www.sport.de/ninja-warrior/pe685853/holger-gugg/","1","","3","",""
"75"," Leroy Guse","Leroy","Guse","m"," Deutschland"," 11.12.1995","1    ","https://www.sport.de/ninja-warrior/pe685913/leroy-guse/","1","","","",""
"76"," Christian Hamer","Christian","Hamer","m"," Deutschland"," 12.01.1987","1    ","https://www.sport.de/ninja-warrior/pe685910/christian-hamer/","1","","","",""
"77"," Moritz Hans","Moritz","Hans","m"," Deutschland"," 29.02.1996","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe684374/moritz-hans/","1","2","3","4","5"
"78"," Philipp Hans","Philipp","Hans","m"," Deutschland"," 21.09.1993","1 2  4 5","https://www.sport.de/ninja-warrior/pe686033/philipp-hans/","1","2","","4","5"
"79"," Christian Hauck","Christian","Hauck","m"," Deutschland"," 04.10.1988","1    ","https://www.sport.de/ninja-warrior/pe686015/christian-hauck/","1","","","",""
"80"," Patrick Hauff","Patrick","Hauff","m"," Deutschland"," 07.02.1987","1    ","https://www.sport.de/ninja-warrior/pe685908/patrick-hauff/","1","","","",""
"81"," Julian Hausch","Julian","Hausch","m"," Deutschland"," 27.06.1996","1    ","https://www.sport.de/ninja-warrior/pe686081/julian-hausch/","1","","","",""
"82"," Tanja Heinzer","Tanja","Heinzer","w"," Schweiz"," 28.02.1993","1    ","https://www.sport.de/ninja-warrior/pe686105/tanja-heinzer/","1","","","",""
"83"," Bettina Heiss","Bettina","Heiss","w"," Deutschland"," 20.09.1976","1    ","https://www.sport.de/ninja-warrior/pe685929/bettina-heiss/","1","","","",""
"84"," Philipp Hell","Philipp","Hell","m"," Deutschland"," 21.06.1991","1    ","https://www.sport.de/ninja-warrior/pe686044/philipp-hell/","1","","","",""
"85"," Thaddäus Helmreich","Thaddäus","Helmreich","m"," Deutschland"," 26.01.1989","1    ","https://www.sport.de/ninja-warrior/pe686046/thaddaeus-helmreich/","1","","","",""
"86"," Dennis Henschel","Dennis","Henschel","m"," Deutschland"," 05.02.1984","1    ","https://www.sport.de/ninja-warrior/pe685833/dennis-henschel/","1","","","",""
"87"," Judith Hesse","Judith","Hesse","w"," Deutschland"," 02.12.1983","1    ","https://www.sport.de/ninja-warrior/pe686090/judith-hesse/","1","","","",""
"88"," Lina Himpel","Lina","Himpel","w"," Deutschland"," 09.11.1995","1    ","https://www.sport.de/ninja-warrior/pe686095/lina-himpel/","1","","","",""
"89"," Gary Hines","Gary","Hines","m"," Deutschland"," 21.03.1984","1 2 3 4 5","https://www.sport.de/handball/pe672295/gary-hines/","1","2","3","4","5"
"90"," Jan Hojer","Jan","Hojer","m"," Deutschland"," 09.02.1992","1    ","https://www.sport.de/ninja-warrior/pe686036/jan-hojer/","1","","","",""
"91"," Michael Holz","Michael","Holz","m"," Deutschland"," 29.10.1984","1    ","https://www.sport.de/ninja-warrior/pe686070/michael-holz/","1","","","",""
"92"," Daniel Hong","Daniel","Hong","m"," Deutschland"," 24.09.1984","1    ","https://www.sport.de/ninja-warrior/pe686003/daniel-hong/","1","","","",""
"93"," Axel Hower","Axel","Hower","m"," Deutschland"," 21.03.1986","1    ","https://www.sport.de/ninja-warrior/pe686024/axel-hower/","1","","","",""
"94"," Dirk Hüfler","Dirk","Hüfler","m"," Deutschland"," 13.05.1965","1    ","https://www.sport.de/ninja-warrior/pe686050/dirk-huefler/","1","","","",""
"95"," Amelie Hundrieser","Amelie","Hundrieser","w"," Deutschland"," 24.05.1989","1    ","https://www.sport.de/ninja-warrior/pe685918/amelie-hundrieser/","1","","","",""
"96"," Fadi Issa","Fadi","Issa","m"," Deutschland"," 15.10.1969","1    ","https://www.sport.de/ninja-warrior/pe685893/fadi-issa/","1","","","",""
"97"," John Jennessen","John","Jennessen","m"," Deutschland"," 06.01.1988","1    ","https://www.sport.de/ninja-warrior/pe685883/john-jennessen/","1","","","",""
"98"," Daniel Jung","Daniel","Jung","m"," Deutschland"," 16.11.1983","1 2   ","https://www.sport.de/ninja-warrior/pe686035/daniel-jung/","1","2","","",""
"99"," Julien Jung","Julien","Jung","m"," Deutschland"," 04.05.1988","1    ","https://www.sport.de/ninja-warrior/pe686088/julien-jung/","1","","","",""
"100"," Lynn Jung","Lynn","Jung","w"," England"," 21.04.1989","1    ","https://www.sport.de/ninja-warrior/pe686092/lynn-jung/","1","","","",""
"101"," Sandra Jung","Sandra","Jung","w"," Deutschland"," 30.03.1982","1    ","https://www.sport.de/ninja-warrior/pe685866/sandra-jung/","1","","","",""
"102"," Anita Junkowitsch","Anita","Junkowitsch","w"," Deutschland"," 28.03.1981","1    ","https://www.sport.de/ninja-warrior/pe686110/anita-junkowitsch/","1","","","",""
"103"," Marcel Kahlich","Marcel","Kahlich","m"," Deutschland"," 28.12.1988","1    ","https://www.sport.de/ninja-warrior/pe686073/marcel-kahlich/","1","","","",""
"104"," Kevin Kapelski","Kevin","Kapelski","m"," Deutschland"," 06.11.1992","1  3  ","https://www.sport.de/ninja-warrior/pe685838/kevin-kapelski/","1","","3","",""
"105"," Nina Kapitain","Nina","Kapitain","w"," Deutschland"," 11.09.1997","1    ","https://www.sport.de/ninja-warrior/pe685868/nina-kapitain/","1","","","",""
"106"," Christian Kirstges","Christian","Kirstges","m"," Deutschland"," 19.12.1986","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe685937/christian-kirstges/","1","2","3","4","5"
"107"," Stefan Kitzel","Stefan","Kitzel","m"," Deutschland"," 02.11.1988","1    ","https://www.sport.de/ninja-warrior/pe685931/stefan-kitzel/","1","","","",""
"108"," Pascal Klein","Pascal","Klein","m"," Deutschland"," 21.02.1992","1    ","https://www.sport.de/ninja-warrior/pe685912/pascal-klein/","1","","","",""
"109"," Mario Klintworth","Mario","Klintworth","m"," Deutschland"," 22.12.1979","1    ","https://www.sport.de/ninja-warrior/pe686000/mario-klintworth/","1","","","",""
"110"," Simon Knitter","Simon","Knitter","m"," Deutschland"," 28.09.1993","1 2   ","https://www.sport.de/ninja-warrior/pe685939/simon-knitter/","1","2","","",""
"111"," Kostja Konstantynovski","Kostja","Konstantynovski","m"," Deutschland"," 06.04.1985","1    ","https://www.sport.de/ninja-warrior/pe686023/kostja-konstantynovski/","1","","","",""
"112"," André Kreisel","André","Kreisel","m"," Deutschland"," 11.09.1983","1  3  ","https://www.sport.de/ninja-warrior/pe686078/andre-kreisel/","1","","3","",""
"113"," Jury Kruber","Jury","Kruber","m"," Deutschland"," 11.03.1984","1    ","https://www.sport.de/ninja-warrior/pe686002/jury-kruber/","1","","","",""
"114"," Nico Krüger","Nico","Krüger","m"," Deutschland"," 04.11.1994","1    ","https://www.sport.de/ninja-warrior/pe685944/nico-krueger/","1","","","",""
"115"," Dennis Kubon","Dennis","Kubon","m"," Deutschland"," 08.10.1992","1    ","https://www.sport.de/ninja-warrior/pe685887/dennis-kubon/","1","","","",""
"116"," Witalij Kühne","Witalij","Kühne","m"," Deutschland"," 30.06.1968","1    ","https://www.sport.de/ninja-warrior/pe686084/witalij-kuehne/","1","","","",""
"117"," Mirko Künstler","Mirko","Künstler","m"," Deutschland"," 04.10.1990","1 2   ","https://www.sport.de/ninja-warrior/pe686011/mirko-kuenstler/","1","2","","",""
"118"," Emil Kusmirek","Emil","Kusmirek","m"," Polen"," 12.06.1990","1    ","https://www.sport.de/ninja-warrior/pe686006/emil-kusmirek/","1","","","",""
"119"," Sandra Lamla","Sandra","Lamla","w"," Deutschland"," 06.07.1994","1    ","https://www.sport.de/ninja-warrior/pe686114/sandra-lamla/","1","","","",""
"120"," Carolin Lasota","Carolin","Lasota","w"," Deutschland"," 02.12.1995","1    ","https://www.sport.de/ninja-warrior/pe686108/carolin-lasota/","1","","","",""
"121"," Johannes Lau","Johannes","Lau","m"," Deutschland"," 09.09.1984","1    ","https://www.sport.de/ninja-warrior/pe685845/johannes-lau/","1","","","",""
"122"," Thorsten Legat","Thorsten","Legat","m"," Deutschland"," 07.11.1968","1  3 4 ","https://www.sport.de/fussball/pe43183/thorsten-legat/","1","","3","4",""
"123"," Kevin Lehmann","Kevin","Lehmann","m"," Deutschland"," 08.02.1993","1    ","https://www.sport.de/ninja-warrior/pe686065/kevin-lehmann/","1","","","",""
"124"," Jens Lintow","Jens","Lintow","m"," Deutschland"," 08.06.1974","1    ","https://www.sport.de/ninja-warrior/pe686013/jens-lintow/","1","","","",""
"125"," Karoline Lorenc","Karoline","Lorenc","w"," Deutschland"," 14.03.1990","1    ","https://www.sport.de/ninja-warrior/pe686093/karoline-lorenc/","1","","","",""
"126"," Robert Maaser","Robert","Maaser","m"," Deutschland"," 19.07.1990","1    ","https://www.sport.de/ninja-warrior/pe685826/robert-maaser/","1","","","",""
"127"," Bengt-Hjalte Mader","Bengt-Hjalte","Mader","m"," Deutschland"," 14.09.1989","1 2   ","https://www.sport.de/ninja-warrior/pe686558/bengt-hjalte-mader/","1","2","","",""
"128"," Mia Manojlovic","Mia","Manojlovic","w"," Deutschland"," 24.08.1997","1  3 4 ","https://www.sport.de/ninja-warrior/pe685867/mia-manojlovic/","1","","3","4",""
"129"," Maria Marinos","Maria","Marinos","w"," Deutschland"," 22.02.1979","1    ","https://www.sport.de/ninja-warrior/pe685924/maria-marinos/","1","","","",""
"130"," Marc Markowski","Marc","Markowski","m"," Deutschland"," 08.01.1982","1    ","https://www.sport.de/ninja-warrior/pe686022/marc-markowski/","1","","","",""
"131"," Patrick Masivi","Patrick","Masivi","m"," Deutschland"," 24.04.1984","1 2   ","https://www.sport.de/ninja-warrior/pe685943/patrick-masivi/","1","2","","",""
"132"," Jaqueline Mäuser","Jaqueline","Mäuser","m"," Deutschland"," 31.05.1991","1    ","https://www.sport.de/ninja-warrior/pe685869/jaqueline-maeuser/","1","","","",""
"133"," Bertrand Mbi","Bertrand","Mbi","m"," Deutschland"," 14.02.1991","1    ","https://www.sport.de/ninja-warrior/pe685935/bertrand-mbi/","1","","","",""
"134"," Benjamin Melzer","Benjamin","Melzer","m"," Deutschland"," 02.01.1987","1    ","https://www.sport.de/ninja-warrior/pe685834/benjamin-melzer/","1","","","",""
"135"," Ademir Memic","Ademir","Memic","m"," Deutschland"," 22.06.1992","1    ","https://www.sport.de/ninja-warrior/pe685849/ademir-memic/","1","","","",""
"136"," Lukas Meyer","Lukas","Meyer","m"," Deutschland"," 22.07.1995","1    ","https://www.sport.de/ninja-warrior/pe686028/lukas-meyer/","1","","","",""
"137"," Teresa Meyer","Teresa","Meyer","w"," Deutschland"," 08.05.1994","1    ","https://www.sport.de/ninja-warrior/pe686097/teresa-meyer/","1","","","",""
"138"," Yves Meyer","Yves","Meyer","m"," Deutschland"," 07.07.1986","1    ","https://www.sport.de/ninja-warrior/pe685911/yves-meyer/","1","","","",""
"139"," Jerome Michels","Jerome","Michels","m"," Deutschland"," 13.05.1980","1    ","https://www.sport.de/ninja-warrior/pe685947/jerome-michels/","1","","","",""
"140"," Thorsten Michels","Thorsten","Michels","m"," Deutschland"," 20.09.1978","1    ","https://www.sport.de/ninja-warrior/pe685946/thorsten-michels/","1","","","",""
"141"," Hewad Miraky","Hewad","Miraky","m"," Deutschland"," 12.07.1995","1    ","https://www.sport.de/ninja-warrior/pe685902/hewad-miraky/","1","","","",""
"142"," Largun Miraky","Largun","Miraky","m"," Deutschland"," 03.06.1993","1    ","https://www.sport.de/ninja-warrior/pe685903/largun-miraky/","1","","","",""
"143"," Marvin Mitterhuber","Marvin","Mitterhuber","m"," Deutschland"," 23.07.1993","1 2 3 4 5","https://www.sport.de/ninja-warrior/pe685941/marvin-mitterhuber/","1","2","3","4","5"
"144"," Patrick Montenegro","Patrick","Montenegro","m"," Deutschland"," 31.08.1991","1    ","https://www.sport.de/ninja-warrior/pe686051/patrick-montenegro/","1","","","",""
"145"," Constantin Motzigemba","Constantin","Motzigemba","m"," Deutschland"," 05.03.1990","1    ","https://www.sport.de/ninja-warrior/pe685900/constantin-motzigemba/","1","","","",""
"146"," Jessica Müller","Jessica","Müller","w"," Deutschland"," 08.11.1982","1    ","https://www.sport.de/ninja-warrior/pe686089/jessica-mueller/","1","","","",""
"147"," Herwig Natmessnig","Herwig","Natmessnig","m"," Österreich"," 10.08.1981","1 2  4 ","https://www.sport.de/ninja-warrior/pe685880/herwig-natmessnig/","1","2","","4",""
"148"," Christian Neffgen","Christian","Neffgen","m"," Deutschland"," 11.01.1993","1    ","https://www.sport.de/ninja-warrior/pe686072/christian-neffgen/","1","","","",""
"149"," Michael Neller","Michael","Neller","m"," Deutschland"," 31.12.1973","1    ","https://www.sport.de/ninja-warrior/pe685917/michael-neller/","1","","","",""
"150"," Robert Nevermann","Robert","Nevermann","m"," Deutschland"," 30.10.1978","1 2   ","https://www.sport.de/ninja-warrior/pe686026/robert-nevermann/","1","2","","",""
"151"," Michael Nickels","Michael","Nickels","m"," Deutschland"," 07.05.1987","1    ","https://www.sport.de/ninja-warrior/pe685848/michael-nickels/","1","","","",""
"152"," Kajetan Nierychlewski","Kajetan","Nierychlewski","m"," Deutschland"," 12.05.1993","1    ","https://www.sport.de/ninja-warrior/pe686055/kajetan-nierychlewski/","1","","","",""
"153"," Tymek Nierychlewski","Tymek","Nierychlewski","m"," Deutschland"," 27.10.1987","1    ","https://www.sport.de/ninja-warrior/pe686056/tymek-nierychlewski/","1","","","",""
"154"," Volker Noll","Volker","Noll","m"," Deutschland"," 07.05.1983","1    ","https://www.sport.de/ninja-warrior/pe686029/volker-noll/","1","","","",""
"155"," Sara Nosrati","Sara","Nosrati","w"," Deutschland"," 12.05.1989","1    ","https://www.sport.de/ninja-warrior/pe685919/sara-nosrati/","1","","","",""
"156"," Viviane Obenauf","Viviane","Obenauf","w"," Schweiz"," 25.10.1986","1    ","https://www.sport.de/ninja-warrior/pe686100/viviane-obenauf/","1","","","",""
"157"," René Ortner","René","Ortner","m"," Deutschland"," 03.01.1989","1    ","https://www.sport.de/ninja-warrior/pe685851/rene-ortner/","1","","","",""
"158"," Mirco Osting","Mirco","Osting","m"," Deutschland"," 29.08.1990","1    ","https://www.sport.de/ninja-warrior/pe685888/mirco-osting/","1","","","",""
"159"," Hassib-Can Pektas","Hassib-Can","Pektas","m"," Deutschland"," 10.06.1994","1  3  ","https://www.sport.de/ninja-warrior/pe686066/hassib-can-pektas/","1","","3","",""
"160"," Malin Pettersson","Malin","Pettersson","w"," Schweden"," 07.07.1987","1 2   ","https://www.sport.de/ninja-warrior/pe685862/malin-pettersson/","1","2","","",""
"161"," Luca Polaschke","Luca","Polaschke","m"," Deutschland"," 27.01.1994","1 2   ","https://www.sport.de/ninja-warrior/pe685904/luca-polaschke/","1","2","","",""
"162"," Igor Polisski","Igor","Polisski","m"," Deutschland"," 26.06.1985","1    ","https://www.sport.de/ninja-warrior/pe686068/igor-polisski/","1","","","",""
"163"," Kristina Ponomareva","Kristina","Ponomareva","w"," Deutschland"," 31.01.1998","1    ","https://www.sport.de/ninja-warrior/pe685928/kristina-ponomareva/","1","","","",""
"164"," Rene Poprawa","Rene","Poprawa","m"," Deutschland"," 19.09.1989","1 2  4 5","https://www.sport.de/ninja-warrior/pe685839/rene-poprawa/","1","2","","4","5"
